Data,CO,MP10,O3,MP2.5,SO2
02/05/2016,0.0,10.0,22.0,,0.0
02/05/2017,0.0,9.0,40.0,2.0,4.0
02/05/2018,,30.0,52.0,9.0,2.0
02/05/2019,0.0,23.0,31.0,7.0,0.0
02/05/2020,0.0,34.0,50.0,26.0,2.0
02/05/2021,0.0,,28.0,10.0,4.0
02/05/2022,0.0,13.0,32.0,10.0,2.0
02/06/2015,0.0,11.0,24.0,,2.0
02/06/2016,1.0,19.0,4.0,27.0,2.0
02/06/2017,1.0,34.0,30.0,35.0,14.0
02/06/2018,1.0,40.0,50.0,30.0,20.0
02/06/2019,1.0,44.0,54.0,12.0,2.0
02/06/2020,1.0,55.0,38.0,,2.0
02/06/2021,0.0,20.0,37.0,26.0,0.0
02/06/2022,,24.0,,40.0,0.0
02/07/2015,0.0,16.0,25.0,,2.0
02/07/2016,0.0,9.0,22.0,,
02/07/2017,,14.0,44.0,11.0,2.0
02/07/2018,0.0,28.0,52.0,9.0,4.0
02/07/2019,1.0,46.0,45.0,10.0,4.0
02/07/2020,1.0,106.0,31.0,43.0,12.0
02/07/2021,0.0,19.0,34.0,29.0,0.0
02/07/2022,0.0,18.0,28.0,27.0,2.0
02/08/2015,0.0,15.0,,,6.0
02/08/2016,0.0,24.0,34.0,26.0,2.0
02/08/2017,,14.0,41.0,9.0,4.0
02/08/2018,0.0,21.0,31.0,10.0,4.0
02/08/2019,1.0,42.0,58.0,7.0,6.0
02/08/2020,,14.0,46.0,6.0,2.0
02/08/2021,0.0,19.0,44.0,,2.0
02/08/2022,0.0,33.0,34.0,34.0,0.0
02/09/2015,,37.0,63.0,,4.0
02/09/2016,0.0,14.0,33.0,,0.0
02/09/2017,0.0,12.0,56.0,,0.0
02/09/2018,0.0,26.0,48.0,8.0,2.0
02/09/2019,0.0,51.0,67.0,27.0,4.0
02/09/2020,0.0,29.0,48.0,9.0,2.0
02/09/2021,0.0,9.0,34.0,8.0,2.0
02/09/2022,1.0,22.0,35.0,,2.0
02/10/2016,0.0,6.0,26.0,,0.0
02/10/2017,,30.0,,27.0,
02/10/2018,1.0,22.0,,12.0,6.0
02/10/2019,0.0,25.0,54.0,7.0,2.0
02/10/2020,0.0,,64.0,30.0,8.0
02/10/2021,0.0,33.0,59.0,29.0,6.0
02/10/2022,0.0,15.0,35.0,10.0,0.0
02/11/2015,0.0,10.0,37.0,,2.0
02/11/2016,0.0,7.0,38.0,6.0,2.0
02/11/2017,,15.0,41.0,7.0,0.0
02/11/2018,1.0,19.0,57.0,9.0,0.0
02/11/2019,0.0,6.0,54.0,,2.0
02/11/2020,0.0,,44.0,2.0,0.0
02/11/2021,,22.0,35.0,27.0,
02/11/2022,0.0,,16.0,7.0,
02/12/2015,0.0,12.0,36.0,9.0,2.0
02/12/2016,,6.0,30.0,,2.0
02/12/2017,1.0,9.0,44.0,3.0,0.0
02/12/2018,0.0,11.0,26.0,5.0,0.0
02/12/2019,,8.0,,,0.0
02/12/2020,,,,6.0,
02/12/2021,1.0,12.0,48.0,10.0,0.0
02/12/2022,0.0,10.0,22.0,9.0,
03/01/2015,0.0,17.0,62.0,,14.0
03/01/2016,0.0,10.0,33.0,7.0,2.0
03/01/2018,,14.0,22.0,4.0,2.0
03/01/2019,1.0,26.0,39.0,9.0,0.0
03/01/2020,0.0,10.0,25.0,2.0,2.0
03/01/2021,0.0,,46.0,,6.0
03/01/2022,0.0,,32.0,8.0,0.0
03/02/2015,0.0,17.0,43.0,,4.0
03/02/2016,0.0,14.0,34.0,6.0,2.0
03/02/2017,0.0,10.0,34.0,,2.0
03/02/2018,0.0,9.0,23.0,4.0,0.0
03/02/2019,0.0,27.0,80.0,7.0,0.0
03/02/2020,0.0,15.0,46.0,4.0,2.0
03/02/2021,0.0,23.0,38.0,12.0,2.0
03/02/2022,1.0,,27.0,11.0,0.0
03/03/2015,0.0,6.0,34.0,,4.0
03/03/2016,0.0,15.0,23.0,8.0,0.0
03/03/2017,0.0,10.0,44.0,,0.0
03/03/2018,,26.0,,7.0,2.0
03/03/2019,0.0,21.0,54.0,7.0,0.0
03/03/2020,1.0,5.0,17.0,3.0,
03/03/2021,1.0,12.0,36.0,11.0,6.0
03/03/2022,0.0,15.0,34.0,10.0,2.0
03/04/2015,,3.0,33.0,,2.0
03/04/2016,,14.0,,9.0,0.0
03/04/2017,0.0,11.0,44.0,3.0,10.0
03/04/2018,0.0,36.0,43.0,8.0,4.0
03/04/2019,1.0,26.0,38.0,7.0,2.0
03/04/2020,1.0,29.0,22.0,6.0,2.0
03/04/2021,1.0,16.0,41.0,11.0,2.0
03/04/2022,0.0,7.0,30.0,10.0,0.0
03/05/2015,0.0,10.0,35.0,,2.0
03/05/2016,0.0,12.0,26.0,8.0,0.0
03/05/2017,0.0,11.0,34.0,3.0,0.0
03/05/2018,0.0,34.0,66.0,10.0,2.0
03/05/2019,0.0,22.0,35.0,8.0,2.0
03/05/2020,1.0,48.0,68.0,27.0,6.0
03/05/2021,0.0,,30.0,10.0,4.0
03/05/2022,1.0,20.0,28.0,26.0,0.0
03/06/2015,0.0,11.0,22.0,,10.0
03/06/2016,1.0,19.0,2.0,27.0,4.0
03/06/2017,,18.0,47.0,12.0,2.0
03/06/2018,1.0,49.0,94.0,30.0,12.0
03/06/2019,0.0,39.0,47.0,8.0,0.0
03/06/2020,1.0,46.0,46.0,,2.0
03/06/2021,1.0,22.0,41.0,29.0,6.0
03/06/2022,,29.0,,43.0,0.0
03/07/2015,0.0,17.0,26.0,,2.0
03/07/2016,0.0,9.0,27.0,,
03/07/2017,0.0,17.0,45.0,6.0,0.0
03/07/2018,1.0,43.0,58.0,12.0,6.0
03/07/2019,1.0,57.0,32.0,27.0,6.0
03/07/2020,1.0,30.0,34.0,10.0,
03/07/2021,0.0,30.0,49.0,37.0,4.0
03/07/2022,1.0,12.0,27.0,11.0,0.0
03/08/2015,1.0,30.0,,,4.0
03/08/2016,0.0,22.0,36.0,26.0,2.0
03/08/2017,,27.0,39.0,34.0,10.0
03/08/2018,1.0,17.0,32.0,8.0,4.0
03/08/2019,1.0,38.0,66.0,8.0,2.0
03/08/2020,,26.0,50.0,6.0,
03/08/2021,0.0,28.0,47.0,,6.0
03/08/2022,0.0,30.0,34.0,35.0,0.0
03/09/2015,1.0,46.0,51.0,,0.0
03/09/2016,0.0,13.0,25.0,8.0,0.0
03/09/2017,0.0,12.0,55.0,,2.0
03/09/2018,1.0,36.0,50.0,12.0,4.0
03/09/2019,0.0,42.0,64.0,10.0,4.0
03/09/2020,0.0,18.0,42.0,5.0,2.0
03/09/2021,0.0,14.0,40.0,8.0,2.0
03/09/2022,1.0,32.0,48.0,,12.0
03/10/2016,0.0,6.0,25.0,,0.0
03/10/2017,,33.0,,27.0,
03/10/2018,1.0,26.0,70.0,27.0,2.0
03/10/2019,0.0,30.0,71.0,7.0,8.0
03/10/2020,1.0,,80.0,71.0,20.0
03/10/2021,0.0,24.0,51.0,35.0,0.0
03/10/2022,0.0,15.0,45.0,10.0,0.0
03/11/2015,0.0,17.0,46.0,,2.0
03/11/2016,0.0,14.0,,10.0,0.0
03/11/2017,,18.0,39.0,7.0,0.0
03/11/2018,0.0,21.0,52.0,10.0,0.0
03/11/2019,0.0,6.0,57.0,,0.0
03/11/2020,0.0,19.0,33.0,5.0,0.0
03/11/2021,,24.0,44.0,26.0,0.0
03/11/2022,0.0,,18.0,7.0,
03/12/2015,0.0,10.0,50.0,6.0,2.0
03/12/2016,0.0,7.0,39.0,,2.0
03/12/2017,0.0,10.0,33.0,3.0,0.0
03/12/2018,0.0,7.0,26.0,,0.0
03/12/2019,0.0,5.0,25.0,,0.0
03/12/2020,,22.0,,7.0,
03/12/2021,0.0,11.0,37.0,9.0,0.0
03/12/2022,0.0,,17.0,8.0,
04/01/2015,0.0,17.0,68.0,,14.0
04/01/2016,0.0,5.0,15.0,,0.0
04/01/2018,0.0,8.0,21.0,4.0,0.0
04/01/2019,1.0,23.0,19.0,8.0,0.0
04/01/2020,0.0,7.0,,,2.0
04/01/2021,0.0,,46.0,,0.0
04/01/2022,0.0,,17.0,10.0,0.0
04/02/2015,0.0,14.0,46.0,,2.0
04/02/2016,0.0,14.0,34.0,6.0,2.0
04/02/2017,0.0,7.0,51.0,,0.0
04/02/2018,0.0,7.0,23.0,3.0,0.0
04/02/2019,0.0,28.0,46.0,8.0,0.0
04/02/2020,0.0,22.0,58.0,5.0,2.0
04/02/2021,0.0,34.0,41.0,26.0,8.0
04/02/2022,1.0,27.0,24.0,29.0,4.0
04/03/2015,0.0,7.0,38.0,,2.0
04/03/2016,0.0,13.0,24.0,10.0,0.0
04/03/2017,0.0,8.0,65.0,3.0,0.0
04/03/2018,,20.0,,6.0,0.0
04/03/2019,0.0,20.0,27.0,7.0,2.0
04/03/2020,1.0,11.0,49.0,4.0,4.0
04/03/2021,1.0,14.0,50.0,11.0,6.0
04/03/2022,0.0,14.0,30.0,10.0,2.0
04/04/2015,0.0,4.0,34.0,,2.0
04/04/2016,,15.0,,9.0,0.0
04/04/2017,0.0,13.0,46.0,3.0,2.0
04/04/2018,,26.0,47.0,8.0,4.0
04/04/2019,1.0,29.0,51.0,10.0,2.0
04/04/2020,1.0,27.0,34.0,9.0,0.0
04/04/2021,,10.0,38.0,10.0,2.0
04/04/2022,0.0,8.0,30.0,10.0,0.0
04/05/2015,0.0,15.0,30.0,,4.0
04/05/2016,1.0,23.0,33.0,30.0,2.0
04/05/2017,0.0,10.0,38.0,3.0,0.0
04/05/2018,0.0,32.0,53.0,10.0,0.0
04/05/2019,0.0,20.0,30.0,8.0,2.0
04/05/2020,0.0,26.0,50.0,7.0,2.0
04/05/2021,0.0,14.0,31.0,26.0,2.0
04/05/2022,1.0,28.0,22.0,26.0,0.0
04/06/2015,0.0,9.0,34.0,,4.0
04/06/2016,1.0,26.0,11.0,37.0,2.0
04/06/2017,0.0,10.0,42.0,,0.0
04/06/2018,0.0,26.0,,8.0,0.0
04/06/2019,0.0,22.0,38.0,6.0,
04/06/2020,1.0,44.0,40.0,,2.0
04/06/2021,1.0,19.0,42.0,,2.0
04/06/2022,0.0,11.0,25.0,12.0,0.0
04/07/2015,1.0,34.0,22.0,,4.0
04/07/2016,0.0,11.0,23.0,7.0,2.0
04/07/2017,0.0,19.0,46.0,,0.0
04/07/2018,0.0,43.0,58.0,26.0,6.0
04/07/2019,1.0,115.0,29.0,60.0,8.0
04/07/2020,1.0,23.0,40.0,7.0,
04/07/2021,0.0,22.0,45.0,32.0,2.0
04/07/2022,1.0,11.0,24.0,11.0,0.0
04/08/2015,1.0,33.0,50.0,,10.0
04/08/2016,0.0,18.0,30.0,27.0,2.0
