Data,CO,MP10,O3,MP2.5,SO2
03/01/2015,0.0,,44.0,,83.0
03/01/2016,0.0,11.0,,6.0,6.0
03/01/2018,0.0,,27.0,,10.0
03/01/2019,1.0,20.0,,11.0,16.0
03/01/2020,0.0,,,9.0,
03/01/2021,,6.0,,6.0,
03/02/2015,0.0,22.0,,,
03/02/2016,0.0,16.0,62.0,7.0,12.0
03/02/2017,1.0,22.0,29.0,9.0,
03/02/2018,0.0,,30.0,5.0,10.0
03/02/2019,1.0,13.0,44.0,6.0,24.0
03/02/2020,0.0,15.0,,6.0,
03/03/2015,,14.0,,,
03/03/2016,1.0,23.0,45.0,10.0,12.0
03/03/2017,1.0,14.0,42.0,6.0,
03/03/2018,1.0,15.0,79.0,,12.0
03/04/2015,0.0,13.0,73.0,,78.0
03/04/2016,1.0,24.0,57.0,12.0,16.0
03/04/2017,0.0,18.0,44.0,5.0,
03/04/2018,1.0,24.0,42.0,11.0,10.0
03/04/2019,1.0,22.0,60.0,12.0,16.0
03/04/2020,0.0,19.0,,10.0,
03/05/2015,0.0,14.0,60.0,,60.0
03/05/2016,0.0,22.0,46.0,29.0,22.0
03/05/2018,0.0,22.0,67.0,11.0,10.0
03/05/2019,1.0,17.0,,11.0,16.0
03/05/2020,0.0,23.0,,30.0,
03/06/2015,0.0,27.0,28.0,6.0,
03/06/2016,0.0,27.0,16.0,27.0,22.0
03/06/2017,1.0,24.0,42.0,9.0,
03/06/2018,1.0,38.0,49.0,,12.0
03/06/2019,1.0,,62.0,12.0,10.0
03/06/2020,1.0,32.0,,30.0,
03/07/2015,,27.0,33.0,5.0,
03/07/2016,0.0,36.0,42.0,35.0,26.0
03/07/2017,0.0,17.0,48.0,3.0,0.0
03/07/2018,1.0,34.0,50.0,30.0,
03/07/2019,1.0,53.0,33.0,44.0,
03/07/2020,1.0,,,29.0,
03/07/2021,0.0,,,,
03/08/2015,1.0,36.0,66.0,,
03/08/2016,0.0,19.0,62.0,29.0,28.0
03/08/2017,1.0,46.0,43.0,34.0,6.0
03/08/2018,1.0,10.0,33.0,6.0,
03/08/2019,0.0,22.0,72.0,11.0,
03/08/2020,,10.0,,6.0,2.0
03/08/2021,0.0,,,,
03/09/2015,1.0,50.0,55.0,37.0,
03/09/2016,0.0,14.0,49.0,,32.0
03/09/2018,1.0,,39.0,,14.0
03/09/2019,0.0,22.0,,,
03/09/2020,,9.0,,,16.0
03/09/2021,0.0,,,,
03/10/2015,0.0,42.0,127.0,40.0,
03/10/2016,0.0,17.0,50.0,,34.0
03/10/2017,0.0,22.0,34.0,10.0,8.0
03/10/2018,1.0,23.0,68.0,26.0,10.0
03/10/2019,,,,10.0,
03/10/2020,0.0,,,57.0,36.0
03/11/2015,0.0,21.0,,8.0,0.0
03/11/2016,0.0,10.0,58.0,,36.0
03/11/2017,0.0,,33.0,,6.0
03/11/2018,1.0,14.0,,7.0,10.0
03/11/2019,,7.0,,,
03/11/2020,,,,,36.0
03/12/2015,0.0,22.0,,7.0,4.0
03/12/2016,0.0,18.0,54.0,6.0,38.0
03/12/2017,0.0,,35.0,,8.0
03/12/2019,,10.0,,5.0,
03/12/2020,0.0,23.0,,27.0,43.0
04/01/2015,0.0,,49.0,,82.0
04/01/2016,0.0,11.0,,3.0,6.0
04/01/2018,0.0,,19.0,,10.0
04/01/2019,1.0,18.0,,11.0,16.0
04/01/2020,0.0,,,6.0,
04/01/2021,,10.0,,6.0,
04/02/2015,0.0,27.0,,,
04/02/2016,0.0,18.0,70.0,8.0,10.0
04/02/2017,0.0,14.0,45.0,7.0,
04/02/2018,0.0,,27.0,3.0,8.0
04/02/2019,1.0,18.0,52.0,9.0,22.0
04/02/2020,0.0,18.0,,8.0,
04/03/2015,,16.0,,,
04/03/2016,1.0,25.0,49.0,11.0,14.0
04/03/2017,0.0,13.0,64.0,5.0,
04/03/2018,0.0,13.0,,,12.0
04/03/2020,0.0,21.0,,,
04/04/2015,0.0,11.0,70.0,,78.0
04/04/2016,0.0,24.0,66.0,26.0,16.0
04/04/2017,0.0,16.0,39.0,6.0,
04/04/2018,1.0,24.0,51.0,27.0,10.0
04/04/2019,1.0,22.0,76.0,26.0,18.0
04/04/2020,0.0,22.0,,27.0,
04/05/2015,0.0,22.0,51.0,,66.0
04/05/2016,1.0,43.0,52.0,49.0,24.0
04/05/2018,0.0,17.0,58.0,9.0,8.0
04/05/2019,1.0,12.0,,,16.0
04/05/2020,,16.0,,9.0,
04/06/2015,0.0,18.0,49.0,2.0,
04/06/2016,0.0,29.0,36.0,29.0,24.0
04/06/2017,0.0,18.0,41.0,5.0,
04/06/2018,0.0,13.0,46.0,,10.0
04/06/2019,0.0,,54.0,9.0,10.0
04/06/2020,,14.0,,10.0,
04/07/2015,1.0,50.0,37.0,34.0,
04/07/2016,1.0,38.0,35.0,38.0,26.0
04/07/2017,0.0,19.0,49.0,5.0,0.0
04/07/2018,1.0,20.0,51.0,11.0,
04/07/2019,1.0,,,60.0,
04/07/2020,1.0,,,10.0,
04/07/2021,0.0,,,,
04/08/2015,1.0,38.0,74.0,,
04/08/2016,0.0,18.0,58.0,,28.0
04/08/2017,1.0,50.0,56.0,30.0,8.0
04/08/2018,1.0,24.0,21.0,12.0,
04/08/2019,0.0,15.0,61.0,8.0,
04/08/2020,,12.0,,6.0,4.0
04/08/2021,0.0,,,,
04/09/2015,1.0,54.0,70.0,37.0,
04/09/2016,0.0,13.0,52.0,,32.0
04/09/2018,1.0,,41.0,,16.0
04/09/2019,0.0,21.0,,,
04/09/2020,,22.0,,,16.0
04/09/2021,0.0,,,,
04/10/2015,0.0,37.0,89.0,43.0,
04/10/2016,0.0,18.0,30.0,,34.0
04/10/2017,0.0,11.0,43.0,8.0,6.0
04/10/2018,1.0,27.0,65.0,35.0,10.0
04/10/2019,,14.0,,9.0,
04/10/2020,0.0,,,44.0,32.0
04/11/2015,1.0,34.0,47.0,29.0,2.0
04/11/2016,0.0,9.0,60.0,6.0,40.0
04/11/2017,0.0,,31.0,,6.0
04/11/2018,1.0,16.0,,10.0,12.0
04/11/2019,0.0,17.0,,11.0,
04/11/2020,,,,,36.0
04/12/2015,0.0,18.0,,6.0,4.0
04/12/2016,0.0,14.0,45.0,6.0,38.0
04/12/2017,1.0,,25.0,,14.0
04/12/2019,,6.0,,3.0,
04/12/2020,0.0,29.0,,34.0,45.0
05/01/2015,0.0,,59.0,,82.0
05/01/2016,0.0,10.0,,3.0,6.0
05/01/2017,0.0,21.0,68.0,8.0,
05/01/2018,0.0,,30.0,,10.0
05/01/2019,1.0,21.0,87.0,12.0,22.0
05/01/2020,0.0,,,4.0,
05/01/2021,0.0,11.0,,8.0,
05/02/2015,0.0,25.0,,,
05/02/2016,0.0,15.0,73.0,6.0,10.0
05/02/2017,0.0,13.0,39.0,6.0,
05/02/2018,0.0,,24.0,6.0,10.0
05/02/2019,1.0,15.0,63.0,8.0,18.0
05/02/2020,0.0,16.0,,6.0,
05/03/2015,,18.0,,,
05/03/2016,1.0,18.0,43.0,7.0,14.0
05/03/2017,0.0,14.0,38.0,6.0,
