"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2016";"0000";"24,9";"25,4";"24,6";"64,0";"65,0";"63,0";"17,7";"17,8";"17,6";"917,0";"917,0";"916,6";"0,2";"85,0";"2,4";"";"0,0"
"01/01/2016";"0100";"24,2";"25,2";"24,2";"68,0";"68,0";"64,0";"17,9";"18,2";"17,7";"917,5";"917,5";"917,0";"0,9";"151,0";"2,0";"";"0,0"
"01/01/2016";"0200";"25,0";"25,0";"24,1";"65,0";"69,0";"65,0";"18,0";"18,2";"17,8";"917,3";"917,6";"917,3";"1,4";"106,0";"2,4";"";"0,0"
"01/01/2016";"0300";"24,1";"25,0";"23,7";"70,0";"71,0";"65,0";"18,3";"18,3";"17,8";"916,9";"917,3";"916,9";"1,0";"85,0";"2,7";"";"0,0"
"01/01/2016";"0400";"23,8";"24,5";"23,8";"70,0";"70,0";"68,0";"18,0";"18,3";"18,0";"916,4";"916,9";"916,4";"1,0";"100,0";"2,9";"";"0,0"
"01/01/2016";"0500";"23,6";"23,8";"22,9";"72,0";"75,0";"70,0";"18,3";"18,4";"18,0";"916,1";"916,5";"916,1";"0,5";"128,0";"1,9";"";"0,0"
"01/01/2016";"0600";"21,8";"23,6";"21,8";"80,0";"80,0";"72,0";"18,2";"18,6";"18,0";"916,1";"916,1";"915,9";"0,8";"32,0";"1,6";"";"0,0"
"01/01/2016";"0700";"21,6";"22,4";"21,6";"81,0";"81,0";"79,0";"18,2";"18,7";"18,2";"916,2";"916,2";"916,0";"0,5";"347,0";"1,6";"";"0,0"
"01/01/2016";"0800";"20,5";"21,8";"20,4";"91,0";"91,0";"81,0";"18,9";"19,0";"18,2";"916,7";"916,7";"916,2";"1,6";"78,0";"6,4";"";"3,4"
"01/01/2016";"0900";"20,9";"20,9";"20,1";"91,0";"91,0";"90,0";"19,3";"19,3";"18,6";"916,7";"916,7";"916,3";"0,8";"203,0";"3,5";"75,00";"0,4"
"01/01/2016";"1000";"22,9";"23,1";"20,7";"84,0";"91,0";"84,0";"20,0";"20,9";"19,1";"916,7";"916,9";"916,5";"0,8";"119,0";"2,2";"443,50";"0,0"
"01/01/2016";"1100";"25,4";"25,6";"22,8";"72,0";"86,0";"69,0";"20,0";"21,0";"19,2";"917,4";"917,4";"916,7";"0,9";"33,0";"2,3";"1442,50";"0,0"
"01/01/2016";"1200";"27,0";"27,0";"25,4";"60,0";"75,0";"60,0";"18,6";"21,1";"18,3";"917,7";"917,7";"917,4";"1,1";"46,0";"3,3";"2188,30";"0,0"
"01/01/2016";"1300";"28,1";"28,5";"27,0";"58,0";"65,0";"52,0";"19,0";"20,8";"17,6";"917,6";"917,9";"917,6";"1,4";"23,0";"4,3";"2974,40";"0,0"
"01/01/2016";"1400";"29,7";"29,7";"28,1";"51,0";"61,0";"50,0";"18,3";"20,4";"18,0";"917,3";"917,6";"917,2";"2,9";"317,0";"6,1";"3464,20";"0,0"
"01/01/2016";"1500";"30,2";"30,8";"29,5";"47,0";"54,0";"46,0";"17,5";"19,7";"17,3";"916,6";"917,2";"916,6";"1,4";"357,0";"6,7";"3825,20";"0,0"
"01/01/2016";"1600";"30,1";"31,1";"29,6";"49,0";"53,0";"45,0";"18,1";"20,0";"16,9";"915,9";"916,6";"915,9";"0,7";"312,0";"5,7";"3059,70";"0,0"
"01/01/2016";"1700";"30,8";"31,6";"29,6";"51,0";"54,0";"41,0";"19,5";"20,3";"16,4";"915,0";"915,9";"915,0";"0,7";"5,0";"5,1";"2620,00";"0,0"
"01/01/2016";"1800";"31,4";"32,1";"30,8";"40,0";"51,0";"40,0";"16,2";"19,1";"16,2";"914,1";"915,0";"914,1";"2,3";"346,0";"6,5";"3156,20";"0,0"
"01/01/2016";"1900";"28,7";"31,6";"28,5";"54,0";"57,0";"40,0";"18,4";"18,9";"16,7";"913,1";"914,1";"913,1";"1,6";"13,0";"5,3";"813,90";"0,0"
"01/01/2016";"2000";"28,4";"29,0";"28,3";"51,0";"60,0";"50,0";"17,3";"19,8";"17,3";"913,5";"913,5";"912,9";"2,1";"286,0";"7,6";"447,90";"0,0"
"01/01/2016";"2100";"28,3";"28,9";"27,8";"52,0";"53,0";"48,0";"17,5";"17,7";"16,2";"913,6";"913,6";"913,3";"1,0";"179,0";"8,4";"550,70";"0,0"
"01/01/2016";"2200";"27,1";"28,3";"26,8";"56,0";"58,0";"52,0";"17,6";"18,2";"17,4";"914,0";"914,0";"913,5";"0,2";"153,0";"3,6";"60,20";"0,0"
"01/01/2016";"2300";"26,5";"27,5";"26,5";"60,0";"60,0";"55,0";"18,0";"18,0";"17,4";"914,8";"914,8";"914,0";"0,8";"158,0";"1,4";"";"0,0"
"02/01/2016";"0000";"26,4";"27,7";"26,4";"60,0";"60,0";"55,0";"18,0";"18,4";"17,7";"915,5";"915,5";"914,8";"1,0";"93,0";"1,9";"";"0,0"
"02/01/2016";"0100";"25,7";"26,9";"25,5";"63,0";"63,0";"58,0";"18,3";"18,3";"17,7";"916,1";"916,2";"915,5";"0,1";"170,0";"1,8";"";"0,0"
"02/01/2016";"0200";"24,6";"25,8";"24,6";"68,0";"68,0";"63,0";"18,2";"18,3";"18,1";"916,2";"916,2";"916,2";"0,1";"333,0";"0,7";"";"0,0"
"02/01/2016";"0300";"24,6";"24,8";"24,1";"68,0";"70,0";"68,0";"18,3";"18,5";"18,2";"915,7";"916,2";"915,7";"0,0";"234,0";"0,7";"";"0,0"
"02/01/2016";"0400";"24,0";"24,7";"23,6";"72,0";"74,0";"68,0";"18,5";"18,7";"18,1";"915,3";"915,7";"915,3";"0,3";"349,0";"2,2";"";"0,0"
"02/01/2016";"0500";"22,5";"23,9";"21,7";"82,0";"84,0";"72,0";"19,3";"19,7";"18,5";"915,2";"915,4";"915,1";"0,5";"316,0";"2,7";"";"0,0"
"02/01/2016";"0600";"22,3";"23,2";"22,1";"84,0";"84,0";"79,0";"19,5";"19,6";"18,9";"915,1";"915,3";"914,9";"1,2";"31,0";"3,1";"";"0,0"
"02/01/2016";"0700";"21,3";"22,6";"21,3";"86,0";"86,0";"83,0";"18,9";"19,6";"18,9";"915,4";"915,4";"914,9";"1,5";"329,0";"3,2";"";"0,0"
"02/01/2016";"0800";"22,5";"23,3";"21,3";"80,0";"87,0";"77,0";"18,9";"19,8";"18,7";"915,6";"915,6";"915,2";"1,1";"135,0";"4,5";"";"0,0"
"02/01/2016";"0900";"22,4";"23,2";"22,1";"83,0";"84,0";"79,0";"19,4";"19,5";"18,8";"916,1";"916,1";"915,6";"0,1";"6,0";"1,9";"29,00";"0,0"
"02/01/2016";"1000";"23,7";"23,7";"22,4";"81,0";"87,0";"80,0";"20,2";"20,4";"19,3";"916,9";"916,9";"916,1";"1,0";"31,0";"2,0";"299,70";"0,0"
"02/01/2016";"1100";"24,8";"24,8";"23,7";"76,0";"82,0";"72,0";"20,3";"20,6";"19,3";"917,5";"917,5";"916,9";"0,6";"55,0";"2,0";"500,60";"0,0"
"02/01/2016";"1200";"26,7";"27,9";"24,8";"62,0";"76,0";"58,0";"18,8";"20,5";"18,6";"917,7";"917,8";"917,5";"1,7";"105,0";"3,5";"1229,70";"0,0"
"02/01/2016";"1300";"29,5";"29,6";"26,7";"54,0";"65,0";"53,0";"19,2";"20,8";"18,5";"917,3";"917,7";"917,3";"1,6";"65,0";"3,8";"1784,50";"0,0"
"02/01/2016";"1400";"31,3";"31,5";"28,9";"47,0";"58,0";"46,0";"18,7";"20,4";"17,0";"916,4";"917,3";"916,4";"1,4";"31,0";"5,6";"3550,20";"0,0"
"02/01/2016";"1500";"29,1";"31,9";"29,1";"50,0";"54,0";"42,0";"17,7";"19,8";"16,5";"916,1";"916,6";"916,1";"2,9";"329,0";"6,1";"2522,50";"0,0"
"02/01/2016";"1600";"19,5";"29,1";"19,5";"82,0";"82,0";"49,0";"16,3";"18,4";"15,8";"916,9";"917,3";"916,0";"6,1";"253,0";"17,6";"751,10";"5,4"
"02/01/2016";"1700";"21,0";"21,0";"19,3";"83,0";"89,0";"82,0";"18,0";"18,4";"16,4";"916,3";"917,4";"916,3";"2,2";"217,0";"17,6";"114,40";"5,4"
"02/01/2016";"1800";"21,0";"22,2";"21,0";"87,0";"87,0";"79,0";"18,7";"18,9";"17,5";"914,7";"916,4";"914,5";"1,5";"348,0";"6,2";"168,80";"0,2"
"02/01/2016";"1900";"22,1";"22,2";"21,0";"88,0";"90,0";"86,0";"20,0";"20,0";"18,7";"915,1";"915,1";"914,6";"0,4";"42,0";"3,7";"267,40";"0,0"
"02/01/2016";"2000";"24,3";"24,3";"22,0";"68,0";"89,0";"68,0";"17,9";"20,4";"17,9";"914,2";"915,1";"914,1";"0,5";"157,0";"3,7";"534,30";"0,0"
"02/01/2016";"2100";"23,4";"24,3";"22,6";"74,0";"81,0";"66,0";"18,5";"19,2";"17,4";"914,6";"914,7";"914,0";"2,4";"221,0";"7,2";"203,10";"0,0"
"02/01/2016";"2200";"23,5";"23,7";"23,0";"74,0";"77,0";"73,0";"18,5";"19,0";"18,5";"915,2";"915,3";"914,7";"0,9";"176,0";"7,2";"31,30";"0,0"
"02/01/2016";"2300";"23,7";"23,8";"23,1";"67,0";"74,0";"67,0";"17,2";"18,5";"17,2";"915,3";"915,4";"915,2";"1,4";"198,0";"5,1";"";"0,0"
"03/01/2016";"0000";"23,1";"24,0";"23,1";"68,0";"68,0";"65,0";"16,9";"17,2";"16,7";"916,1";"916,1";"915,3";"0,7";"254,0";"4,8";"";"0,0"
"03/01/2016";"0100";"21,8";"23,2";"21,7";"78,0";"78,0";"68,0";"17,8";"17,9";"16,9";"916,5";"916,6";"916,1";"1,0";"326,0";"1,8";"";"0,0"
"03/01/2016";"0200";"21,2";"22,1";"21,1";"84,0";"84,0";"78,0";"18,3";"18,5";"18,0";"916,8";"917,0";"916,5";"0,3";"214,0";"2,8";"";"0,0"
"03/01/2016";"0300";"21,4";"21,9";"20,6";"83,0";"86,0";"80,0";"18,4";"18,8";"18,1";"916,0";"916,8";"916,0";"0,0";"122,0";"1,2";"";"0,0"
"03/01/2016";"0400";"21,4";"21,8";"20,9";"83,0";"84,0";"80,0";"18,3";"18,4";"17,8";"915,6";"916,0";"915,6";"0,4";"31,0";"1,4";"";"0,0"
"03/01/2016";"0500";"20,3";"21,4";"20,3";"89,0";"89,0";"83,0";"18,5";"18,8";"18,0";"915,5";"915,7";"915,5";"1,2";"28,0";"2,2";"";"0,0"
"03/01/2016";"0600";"19,9";"20,8";"19,8";"89,0";"90,0";"87,0";"18,0";"18,8";"17,8";"915,1";"915,5";"915,1";"0,5";"339,0";"2,2";"";"0,0"
"03/01/2016";"0700";"20,3";"20,4";"19,8";"88,0";"89,0";"88,0";"18,3";"18,4";"17,9";"914,9";"915,1";"914,9";"0,4";"104,0";"1,4";"";"0,0"
"03/01/2016";"0800";"21,5";"21,5";"20,3";"78,0";"88,0";"78,0";"17,4";"18,5";"17,4";"915,1";"915,1";"914,9";"2,5";"96,0";"6,0";"";"0,0"
"03/01/2016";"0900";"21,1";"21,7";"21,0";"81,0";"82,0";"76,0";"17,8";"17,8";"17,3";"915,8";"915,8";"915,1";"1,1";"60,0";"6,0";"24,20";"0,0"
"03/01/2016";"1000";"22,7";"22,7";"21,1";"77,0";"82,0";"74,0";"18,4";"18,5";"17,6";"916,3";"916,4";"915,8";"0,7";"77,0";"2,7";"259,90";"0,0"
"03/01/2016";"1100";"24,0";"24,0";"22,7";"69,0";"77,0";"68,0";"18,0";"18,6";"17,5";"916,8";"916,8";"916,3";"0,5";"94,0";"2,5";"666,30";"0,0"
"03/01/2016";"1200";"24,7";"25,2";"24,0";"68,0";"72,0";"62,0";"18,5";"18,9";"17,0";"917,2";"917,2";"916,8";"0,7";"336,0";"1,7";"1068,30";"0,0"
"03/01/2016";"1300";"24,7";"25,1";"24,7";"71,0";"73,0";"65,0";"19,1";"19,7";"17,9";"917,7";"917,7";"917,2";"1,4";"326,0";"2,8";"1046,50";"0,0"
"03/01/2016";"1400";"25,3";"25,3";"24,7";"69,0";"73,0";"65,0";"19,2";"19,8";"18,1";"917,8";"917,8";"917,7";"1,6";"324,0";"3,2";"1117,50";"0,0"
"03/01/2016";"1500";"26,9";"26,9";"25,3";"66,0";"71,0";"61,0";"20,0";"20,0";"18,5";"917,0";"917,8";"917,0";"1,7";"312,0";"4,0";"1759,40";"0,0"
"03/01/2016";"1600";"23,2";"27,7";"23,2";"74,0";"74,0";"58,0";"18,3";"20,3";"17,8";"916,6";"917,0";"916,5";"3,9";"344,0";"9,0";"1382,80";"0,0"
