"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2017";"0000";"24,8";"26,0";"24,7";"60,0";"60,0";"53,0";"16,5";"16,5";"15,7";"918,7";"918,7";"917,8";"2,3";"77,0";"8,3";"";"0,0"
"01/01/2017";"0100";"24,0";"24,8";"23,9";"64,0";"64,0";"60,0";"16,8";"16,9";"16,3";"919,5";"919,5";"918,7";"2,4";"95,0";"6,2";"";"0,0"
"01/01/2017";"0200";"22,9";"23,9";"22,9";"65,0";"65,0";"64,0";"16,0";"16,7";"16,0";"919,5";"919,8";"919,5";"2,5";"94,0";"5,8";"";"0,0"
"01/01/2017";"0300";"22,5";"23,0";"22,3";"65,0";"66,0";"64,0";"15,7";"16,1";"15,7";"918,9";"919,5";"918,9";"2,5";"101,0";"5,7";"";"0,0"
"01/01/2017";"0400";"22,1";"22,5";"22,0";"65,0";"66,0";"65,0";"15,3";"15,6";"15,3";"918,3";"918,9";"918,3";"2,8";"110,0";"6,2";"";"0,0"
"01/01/2017";"0500";"21,6";"22,1";"21,5";"66,0";"67,0";"65,0";"14,9";"15,3";"14,9";"917,8";"918,3";"917,8";"2,2";"89,0";"6,2";"";"0,0"
"01/01/2017";"0600";"21,4";"21,8";"21,4";"65,0";"66,0";"64,0";"14,5";"14,9";"14,5";"917,5";"917,8";"917,5";"2,3";"91,0";"5,2";"";"0,0"
"01/01/2017";"0700";"21,3";"21,5";"21,2";"65,0";"65,0";"64,0";"14,4";"14,5";"14,3";"917,8";"917,8";"917,5";"2,6";"93,0";"5,6";"";"0,0"
"01/01/2017";"0800";"20,0";"21,3";"20,0";"70,0";"70,0";"65,0";"14,4";"14,5";"14,3";"918,2";"918,2";"917,8";"1,3";"73,0";"5,2";"";"0,0"
"01/01/2017";"0900";"20,9";"20,9";"19,7";"67,0";"72,0";"67,0";"14,7";"14,7";"14,5";"918,7";"918,7";"918,2";"1,7";"92,0";"3,9";"48,80";"0,0"
"01/01/2017";"1000";"22,0";"22,0";"21,0";"65,0";"68,0";"64,0";"15,2";"15,3";"14,7";"919,3";"919,3";"918,7";"2,0";"99,0";"4,2";"510,20";"0,0"
"01/01/2017";"1100";"24,2";"24,2";"22,0";"58,0";"66,0";"57,0";"15,4";"15,8";"14,9";"919,5";"919,6";"919,3";"2,3";"72,0";"4,7";"1285,10";"0,0"
"01/01/2017";"1200";"26,1";"26,4";"24,1";"52,0";"60,0";"51,0";"15,5";"16,9";"14,9";"919,8";"919,9";"919,5";"1,6";"96,0";"4,9";"2295,70";"0,0"
"01/01/2017";"1300";"27,6";"27,7";"25,3";"43,0";"56,0";"43,0";"14,0";"16,4";"13,3";"919,8";"920,1";"919,8";"0,7";"29,0";"4,7";"3054,30";"0,0"
"01/01/2017";"1400";"27,8";"28,8";"26,9";"41,0";"50,0";"39,0";"13,5";"15,8";"12,9";"919,3";"919,9";"919,3";"1,9";"44,0";"4,5";"3603,70";"0,0"
"01/01/2017";"1500";"29,4";"30,3";"27,8";"43,0";"48,0";"36,0";"15,3";"16,8";"13,0";"918,7";"919,3";"918,7";"1,6";"344,0";"4,5";"3638,60";"0,0"
"01/01/2017";"1600";"29,9";"30,6";"29,4";"35,0";"44,0";"35,0";"13,0";"15,9";"12,9";"918,0";"918,7";"918,0";"1,4";"342,0";"4,6";"3837,90";"0,0"
"01/01/2017";"1700";"31,4";"31,6";"29,8";"33,0";"41,0";"32,0";"13,1";"15,6";"12,3";"917,2";"918,0";"917,2";"1,3";"351,0";"5,1";"3791,10";"0,0"
"01/01/2017";"1800";"32,1";"32,4";"31,2";"34,0";"38,0";"29,0";"14,0";"15,7";"11,9";"916,6";"917,2";"916,6";"3,1";"318,0";"5,6";"3383,10";"0,0"
"01/01/2017";"1900";"30,7";"32,5";"30,5";"35,0";"37,0";"29,0";"13,4";"14,5";"11,6";"916,0";"916,6";"916,0";"1,0";"332,0";"5,6";"1800,20";"0,0"
"01/01/2017";"2000";"29,3";"30,7";"28,8";"42,0";"49,0";"35,0";"15,0";"16,7";"13,1";"916,1";"916,1";"916,0";"0,9";"330,0";"4,2";"641,30";"0,0"
"01/01/2017";"2100";"29,4";"30,0";"28,6";"42,0";"48,0";"37,0";"15,3";"16,7";"13,7";"916,0";"916,1";"916,0";"1,1";"304,0";"3,8";"620,20";"0,0"
"01/01/2017";"2200";"28,4";"29,4";"28,1";"35,0";"44,0";"34,0";"11,3";"15,5";"11,3";"916,6";"916,6";"916,0";"2,2";"46,0";"5,5";"94,10";"0,0"
"01/01/2017";"2300";"26,7";"28,4";"26,4";"43,0";"43,0";"35,0";"13,0";"13,0";"11,3";"917,0";"917,0";"916,6";"1,6";"53,0";"4,8";"";"0,0"
